Bakım Tarihi,Fırın/Makine,Bakım Türü,Yapılan İşlem / Açıklama,Bakımı Yapan,Maliyet (TL),Fırın/Makine Birimi
19.07.2026,İpsen I,Arıza (Plansız) Bakım,1 Adet rezistans değişti.,Erkan Erarslan,3650.0,
19.07.2026,,Arıza (Plansız) Bakım,Brülöl Arıza Bakımı,Mustafa Usta,5000.0,Alüminyum Isıl İşlem Fırını
